case_id,ticker,company,current_status,acquisition_evidence_status,background_section_status,prior_process_signal,observation_date_candidate,premium_status,price_window_status,price_window_fetcher_can_run,remaining_fields_before_verified,recommended_next_action,readiness_score,closest_to_verified_rank
RHC-0001-ACQUIRED-NPSP,NPSP,"NPS Pharmaceuticals, Inc.",PARTIAL,SOURCE_BACKED,FOUND,NONE_FOUND,2015-01-12,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,2
RHC-0002-ACQUIRED-PCYC,PCYC,"Pharmacyclics, Inc.",PARTIAL,SOURCE_BACKED,FOUND,NONE_FOUND,2015-03-06,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,3
RHC-0003-ACQUIRED-ZSPH,ZSPH,"ZS Pharma, Inc.",PARTIAL,SOURCE_BACKED,FOUND,NONE_FOUND,2015-11-06,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,4
RHC-0004-ACQUIRED-ANAC,ANAC,"Anacor Pharmaceuticals, Inc.",PARTIAL,SOURCE_BACKED,FOUND,NONE_FOUND,2016-05-16,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,5
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",PARTIAL,SOURCE_BACKED,FOUND,FOUND_PUBLIC,2016-04-28,MISSING,NOT_STARTED,TRUE,premium extraction; price-window verification,Extract premium evidence from the proxy or Schedule 14D-9 fairness/offer materials.,80,1
RHC-0008-ACQUIRED-TBRA,TBRA,"Tobira Therapeutics, Inc.",CANDIDATE,SOURCE_BACKED,FOUND,NONE_FOUND,2016-09-20,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,6
RHC-0010-ACQUIRED-ARIA,ARIA,"ARIAD Pharmaceuticals, Inc.",CANDIDATE,SOURCE_BACKED,FOUND,NONE_FOUND,2017-01-09,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,7
RHC-0013-ACQUIRED-KITE,KITE,"Kite Pharma, Inc.",CANDIDATE,SOURCE_BACKED,FOUND,NONE_FOUND,2017-08-28,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,8
RHC-0015-ACQUIRED-BIVV,BIVV,Bioverativ Inc.,CANDIDATE,SOURCE_BACKED,FOUND,NONE_FOUND,2018-01-22,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,9
RHC-0017-ACQUIRED-JUNO,JUNO,"Juno Therapeutics, Inc.",CANDIDATE,SOURCE_BACKED,FOUND,NONE_FOUND,2018-01-22,MISSING,NOT_STARTED,TRUE,manual no-hit confirmation; premium extraction; price-window verification,"Manually confirm no pre-announcement public process signal across 8-K, 13D, 10-K, and 10-Q filings, then run price-window verification.",80,10
