priority,priority_rank,check_id,case_id,ticker,source_file,row_number,field_name,issue,cleanup_action,blocks_50_case_study,detail
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0001-ACQUIRED-NPSP,NPSP,resolved_case_candidates.csv,2,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0002-ACQUIRED-PCYC,PCYC,resolved_case_candidates.csv,3,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0003-ACQUIRED-ZSPH,ZSPH,resolved_case_candidates.csv,4,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0004-ACQUIRED-ANAC,ANAC,resolved_case_candidates.csv,5,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0006-ACQUIRED-MDVN,MDVN,resolved_case_candidates.csv,7,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0008-ACQUIRED-TBRA,TBRA,resolved_case_candidates.csv,9,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0010-ACQUIRED-ARIA,ARIA,resolved_case_candidates.csv,11,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0013-ACQUIRED-KITE,KITE,resolved_case_candidates.csv,14,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0015-ACQUIRED-BIVV,BIVV,resolved_case_candidates.csv,16,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0017-ACQUIRED-JUNO,JUNO,resolved_case_candidates.csv,18,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,TRUE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0051-ACQUIRED-EPZM,EPZM,resolved_case_candidates.csv,52,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0052-ACQUIRED-FMTX,FMTX,resolved_case_candidates.csv,53,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0053-ACQUIRED-GBT,GBT,resolved_case_candidates.csv,54,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0054-ACQUIRED-IMGO,IMGO,resolved_case_candidates.csv,55,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0055-ACQUIRED-OYST,OYST,resolved_case_candidates.csv,56,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0056-ACQUIRED-SRRA,SRRA,resolved_case_candidates.csv,57,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0057-ACQUIRED-TPTX,TPTX,resolved_case_candidates.csv,58,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0058-ACQUIRED-BLU,BLU,resolved_case_candidates.csv,59,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0059-ACQUIRED-CINC,CINC,resolved_case_candidates.csv,60,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0060-ACQUIRED-CTIC,CTIC,resolved_case_candidates.csv,61,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
HIGH,3,ACQUIRED_NO_ANNOUNCEMENT_DATE,RHC-0061-ACQUIRED-DICE,DICE,resolved_case_candidates.csv,62,candidate_id,Acquired candidate has no acquisition announcement date row.,Backfill announcement date with source URL before using the case as a dated baseline.,FALSE,
