severity,priority_score,check_id,source_file,row_number,entity_id,field_name,message,detail
HIGH,85,CROSS_CASE_ID,cross_file,aggregate,HARP,case_id,cases_seed case_id HARP-2023-001 != verification_working_queue case_id_current HARP-2020-001,
HIGH,75,MISSING_REQUIRED,cases_seed.csv,4,GNCA-2022-001,deal_type,Missing or empty required field per schema.json: deal_type,
HIGH,75,MISSING_REQUIRED,cases_seed.csv,8,CRBP-2022-001,deal_type,Missing or empty required field per schema.json: deal_type,
HIGH,75,MISSING_REQUIRED,cases_seed.csv,9,MGTA-2022-001,deal_type,Missing or empty required field per schema.json: deal_type,
HIGH,75,MISSING_REQUIRED,cases_seed.csv,10,RIGL-2020-001,deal_type,Missing or empty required field per schema.json: deal_type,
HIGH,75,MISSING_REQUIRED,cases_seed.csv,11,VNDA-2021-001,deal_type,Missing or empty required field per schema.json: deal_type,
HIGH,75,MISSING_REQUIRED,cases_seed.csv,14,SURF-2022-001,deal_type,Missing or empty required field per schema.json: deal_type,
HIGH,75,MISSING_REQUIRED,cases_seed.csv,15,PTGX-2022-001,deal_type,Missing or empty required field per schema.json: deal_type,
MEDIUM,50,DUP_TICKER_OUTCOME,resolved_case_candidates.csv,aggregate,RXDX|ACQUIRED,ticker+likely_outcome_type,Duplicate rows for same ticker+outcome (2 rows),
MEDIUM,50,DUP_TICKER_OUTCOME,resolved_case_candidates.csv,aggregate,DOVA|ACQUIRED,ticker+likely_outcome_type,Duplicate rows for same ticker+outcome (2 rows),
MEDIUM,50,DUP_TICKER_OUTCOME,resolved_case_candidates.csv,aggregate,DCPH|ACQUIRED,ticker+likely_outcome_type,Duplicate rows for same ticker+outcome (2 rows),
MEDIUM,50,DUP_TICKER_OUTCOME,resolved_case_candidates.csv,aggregate,CRBP|FAILED_REVIEW,ticker+likely_outcome_type,Duplicate rows for same ticker+outcome (2 rows),
MEDIUM,50,DUP_TICKER_OUTCOME,resolved_case_candidates.csv,aggregate,SURF|REVERSE_MERGER,ticker+likely_outcome_type,Duplicate rows for same ticker+outcome (2 rows),
MEDIUM,50,NAME_MISMATCH,cross_file,aggregate,RXDX,company,Multiple normalized company strings for same ticker across pipeline files,ignyta | prometheus biosciences
MEDIUM,50,NAME_MISMATCH,cross_file,aggregate,BHVN,company,Multiple normalized company strings for same ticker across pipeline files,biohaven | biohaven pharmaceutical
MEDIUM,50,OUTCOME_YEAR_MISSING,resolved_case_candidates.csv,114,RHC-0113-FAILED_REVIEW-CRBP,likely_outcome_year,likely_outcome_type set but likely_outcome_year not a 4-digit year,
MEDIUM,50,OUTCOME_YEAR_MISSING,resolved_case_candidates.csv,115,RHC-0114-FAILED_REVIEW-RIGL,likely_outcome_year,likely_outcome_type set but likely_outcome_year not a 4-digit year,
MEDIUM,50,OUTCOME_YEAR_MISSING,resolved_case_candidates.csv,116,RHC-0115-FAILED_REVIEW-VNDA,likely_outcome_year,likely_outcome_type set but likely_outcome_year not a 4-digit year,
MEDIUM,50,OUTCOME_YEAR_MISSING,resolved_case_candidates.csv,126,RHC-0125-REVERSE_MERGER-SURF,likely_outcome_year,likely_outcome_type set but likely_outcome_year not a 4-digit year,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,2,HARP-2023-001,source_filing_date,Placeholder or VERIFY_REQUIRED in date-like field: VERIFY_REQUIRED,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,6,IMGO-2022-001,observation_date,Placeholder or VERIFY_REQUIRED in date-like field: 2022-01-01,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,8,CRBP-2022-001,source_filing_date,Placeholder or VERIFY_REQUIRED in date-like field: VERIFY_REQUIRED,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,10,RIGL-2020-001,observation_date,Placeholder or VERIFY_REQUIRED in date-like field: 2020-01-01,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,10,RIGL-2020-001,source_filing_date,Placeholder or VERIFY_REQUIRED in date-like field: VERIFY_REQUIRED,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,11,VNDA-2021-001,observation_date,Placeholder or VERIFY_REQUIRED in date-like field: 2021-01-01,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,11,VNDA-2021-001,source_filing_date,Placeholder or VERIFY_REQUIRED in date-like field: VERIFY_REQUIRED,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,14,SURF-2022-001,source_filing_date,Placeholder or VERIFY_REQUIRED in date-like field: VERIFY_REQUIRED,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,16,INBX-2024-001,source_filing_date,Placeholder or VERIFY_REQUIRED in date-like field: VERIFY_REQUIRED,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,17,FLXN-2021-001,observation_date,Placeholder or VERIFY_REQUIRED in date-like field: VERIFY_REQUIRED,
MEDIUM,50,PLACEHOLDER_DATE,cases_seed.csv,18,DOVA-2021-001,observation_date,Placeholder or VERIFY_REQUIRED in date-like field: VERIFY_REQUIRED,
MEDIUM,50,PLACEHOLDER_DATE,price_windows.csv,4,IMGO-2022-001,observation_date,observation_date is placeholder or VERIFY_REQUIRED: 2022-01-01,
MEDIUM,50,PLACEHOLDER_DATE,price_windows.csv,5,FLXN-2021-001,observation_date,observation_date is placeholder or VERIFY_REQUIRED: VERIFY_REQUIRED,
MEDIUM,50,UNRESOLVED_IN_RESOLVED_FILE,resolved_case_candidates.csv,157,RHC-0156-FAILED_REVIEW-TILS,notes/hint,Language suggests live or not-yet-resolved outcome in resolved_case_candidates,
MEDIUM,50,UNRESOLVED_IN_RESOLVED_FILE,resolved_case_candidates.csv,172,RHC-0171-FAILED_REVIEW-PRAX,notes/hint,Language suggests live or not-yet-resolved outcome in resolved_case_candidates,
MEDIUM,50,UNRESOLVED_IN_RESOLVED_FILE,resolved_case_candidates.csv,180,RHC-0179-FAILED_REVIEW-VSTM,notes/hint,Language suggests live or not-yet-resolved outcome in resolved_case_candidates,
MEDIUM,50,UNRESOLVED_IN_RESOLVED_FILE,resolved_case_candidates.csv,191,RHC-0190-ACTIVIST_NO_DEAL-RIGL,notes/hint,Language suggests live or not-yet-resolved outcome in resolved_case_candidates,
MEDIUM,50,UNRESOLVED_IN_RESOLVED_FILE,resolved_case_candidates.csv,196,RHC-0195-ACTIVIST_NO_DEAL-VNDA,notes/hint,Language suggests live or not-yet-resolved outcome in resolved_case_candidates,
MEDIUM,50,UNRESOLVED_IN_RESOLVED_FILE,resolved_case_candidates.csv,202,RHC-0201-ACTIVIST_NO_DEAL-MGNX,notes/hint,Language suggests live or not-yet-resolved outcome in resolved_case_candidates,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,2,HARP-2023-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,2,HARP-2023-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,2,HARP-2023-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,3,SRRA-2022-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,3,SRRA-2022-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,4,GNCA-2022-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,4,GNCA-2022-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,5,PAND-2021-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,5,PAND-2021-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,5,PAND-2021-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,6,IMGO-2022-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,6,IMGO-2022-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,7,GRCL-2024-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,7,GRCL-2024-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,7,GRCL-2024-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,8,CRBP-2022-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,8,CRBP-2022-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,8,CRBP-2022-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,9,MGTA-2022-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,9,MGTA-2022-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,10,RIGL-2020-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,10,RIGL-2020-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,10,RIGL-2020-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,11,VNDA-2021-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,11,VNDA-2021-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,11,VNDA-2021-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,12,ACHN-2020-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,12,ACHN-2020-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,12,ACHN-2020-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,13,ALDR-2019-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,13,ALDR-2019-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,13,ALDR-2019-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,14,SURF-2022-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,14,SURF-2022-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,14,SURF-2022-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,15,PTGX-2022-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
