ticker,canonical_case_id,all_case_ids,issue_type,severity,finding,recommendation,fix_applied
RXDX,RHC-0018-ACQUIRED-RXDX,RHC-0018-ACQUIRED-RXDX;RHC-0065-ACQUIRED-RXDX,MULTIPLE_CASE_IDS,MEDIUM,Ticker appears with multiple case_ids across active-batch inputs.,Use active batch case_id as canonical for the 50-case study; do not change non-active candidate rows without separate dedupe review.,NO
DOVA,RHC-0036-ACQUIRED-DOVA,RHC-0036-ACQUIRED-DOVA;RHC-0096-ACQUIRED-DOVA,MULTIPLE_CASE_IDS,MEDIUM,Ticker appears with multiple case_ids across active-batch inputs.,Use active batch case_id as canonical for the 50-case study; do not change non-active candidate rows without separate dedupe review.,NO
DOVA,RHC-0036-ACQUIRED-DOVA,RHC-0036-ACQUIRED-DOVA;RHC-0096-ACQUIRED-DOVA,SOURCE_EVIDENCE_LEGACY_CASE_ID,LOW,source_evidence had legacy DOVA-2021-001 rows alongside active RHC-0036-ACQUIRED-DOVA.,Canonical active 50-case id is RHC-0036-ACQUIRED-DOVA. Updated source_evidence case_id values only. A separate non-active resolved candidate id remains report-only.,YES
FLXN,RHC-0038-ACQUIRED-FLXN,RHC-0038-ACQUIRED-FLXN,SOURCE_EVIDENCE_LEGACY_CASE_ID,LOW,source_evidence had legacy FLXN-2021-001 rows alongside active RHC-0038-ACQUIRED-FLXN.,Canonical active 50-case id is RHC-0038-ACQUIRED-FLXN. Updated source_evidence case_id values only.,YES
MDVN,RHC-0006-ACQUIRED-MDVN,RHC-0006-ACQUIRED-MDVN,DATE_TABLE_MISSING_ROW,HIGH,"MDVN is consistently keyed as RHC-0006-ACQUIRED-MDVN in batch results, source evidence, filing targets, signal hits, adjudication queue, verification queue, and resolved candidates, but has no row in acquisition_announcement_dates.csv. Batch/source/targets/hits/adjudication all carry 2016-08-22.","Treat as a real missing date-table row, not a case_id mismatch. Backfill acquisition_announcement_dates.csv only after deciding the date-table should be synchronized from already adjudicated batch/source evidence.",NO
NPSP,RHC-0001-ACQUIRED-NPSP,RHC-0001-ACQUIRED-NPSP,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
PCYC,RHC-0002-ACQUIRED-PCYC,RHC-0002-ACQUIRED-PCYC,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
ZSPH,RHC-0003-ACQUIRED-ZSPH,RHC-0003-ACQUIRED-ZSPH,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
ANAC,RHC-0004-ACQUIRED-ANAC,RHC-0004-ACQUIRED-ANAC,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
CPXX,RHC-0005-ACQUIRED-CPXX,RHC-0005-ACQUIRED-CPXX,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
RLYP,RHC-0007-ACQUIRED-RLYP,RHC-0007-ACQUIRED-RLYP,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
TBRA,RHC-0008-ACQUIRED-TBRA,RHC-0008-ACQUIRED-TBRA,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
VTAE,RHC-0009-ACQUIRED-VTAE,RHC-0009-ACQUIRED-VTAE,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
ARIA,RHC-0010-ACQUIRED-ARIA,RHC-0010-ACQUIRED-ARIA,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
CLCD,RHC-0011-ACQUIRED-CLCD,RHC-0011-ACQUIRED-CLCD,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
DMTX,RHC-0012-ACQUIRED-DMTX,RHC-0012-ACQUIRED-DMTX,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
KITE,RHC-0013-ACQUIRED-KITE,RHC-0013-ACQUIRED-KITE,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
AVXS,RHC-0014-ACQUIRED-AVXS,RHC-0014-ACQUIRED-AVXS,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
BIVV,RHC-0015-ACQUIRED-BIVV,RHC-0015-ACQUIRED-BIVV,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
CASC,RHC-0016-ACQUIRED-CASC,RHC-0016-ACQUIRED-CASC,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
