case_id,ticker,company,likely_outcome_year,announcement_date,date_confidence,needs_date_backfill,filings_collected,priority_tier,priority_reason,signal_phrase_types,signal_hit_count,adjudication_status,next_action,edgar_company_search_url,notes
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme,2022,2022-06-27,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,rofr_rofn,1,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=EPZM&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0052-ACQUIRED-FMTX,FMTX,"Forma Therapeutics Holdings, Inc.",2022,2022-09-01,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,sale_process,4,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=FMTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0053-ACQUIRED-GBT,GBT,"Global Blood Therapeutics, Inc.",2022,2022-08-08,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,rofr_rofn,1,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=GBT&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0054-ACQUIRED-IMGO,IMGO,Imago BioSciences,2022,2022-11-21,HIGH,FALSE,TRUE,P3,SC 13D filing found — verify Item 4 for acquisition-pressure language.,strategic_alternatives,1,,Read SC 13D Item 4. Classify as acquisition pressure or governance. Adjudicate.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=IMGO&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0055-ACQUIRED-OYST,OYST,Oyster Point Pharma,2022,2022-11-08,HIGH,FALSE,TRUE,P1,Explicit process language: acquisition_proposal.,acquisition_proposal|retained_advisor|rofr_rofn|sale_process,3,,Open filing links. Verify phrase context. Adjudicate case_level_true_signal.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=OYST&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0056-ACQUIRED-SRRA,SRRA,Sierra Oncology,2022,2022-04-13,HIGH,FALSE,TRUE,P3,SC 13D filing found — verify Item 4 for acquisition-pressure language.,rofr_rofn,1,,Read SC 13D Item 4. Classify as acquisition pressure or governance. Adjudicate.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SRRA&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0057-ACQUIRED-TPTX,TPTX,"Turning Point Therapeutics, Inc.",2022,2022-06-03,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,rofr_rofn,1,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=TPTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0058-ACQUIRED-BLU,BLU,BELLUS Health Inc.,2023,2023-04-18,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,,1,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=BLU&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0059-ACQUIRED-CINC,CINC,"CinCor Pharma, Inc.",2023,2023-01-09,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,sale_process,3,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CINC&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0060-ACQUIRED-CTIC,CTIC,CTI BioPharma,2023,2023-05-10,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,,1,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CTIC&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0061-ACQUIRED-DICE,DICE,"DICE Therapeutics, Inc.",2023,2023-06-20,HIGH,FALSE,TRUE,P1,Explicit process language: acquisition_proposal.,acquisition_proposal,1,,Open filing links. Verify phrase context. Adjudicate case_level_true_signal.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=DICE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0062-ACQUIRED-HARP,HARP,Harpoon Therapeutics,2023,2024-01-08,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,,1,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=HARP&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0063-ACQUIRED-ISEE,ISEE,"IVERIC bio, Inc.",2023,2023-05-01,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,,1,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ISEE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0064-ACQUIRED-RETA,RETA,"Reata Pharmaceuticals, Inc.",2023,2023-07-31,HIGH,FALSE,TRUE,P6,Filing collection ran; no relevant signal phrases found.,rofr_rofn,1,,No signal found. Mark DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE if filing coverage confirmed.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=RETA&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
