ticker,company,category,likely_event_year,source_hint,priority,verification_status,notes
HARP,Harpoon Therapeutics,COMPLETED_DEAL,2023,EDGAR 8-K merger agreement Feb 2023; AbbVie $680M; prior ROFR in collaboration 8-K 2020,HIGH,CANDIDATE,Textbook ROFR_THEN_MERGER. Already in cases_seed.csv — verify first.
SRRA,Sierra Oncology,COMPLETED_DEAL,2022,EDGAR 8-K GSK deal announcement Apr 2022; ~$1.9B; momelotinib MF,HIGH,CANDIDATE,Find first process signal (SA or banker) before deal. Already in seed.
IMGO,Imago BioSciences,COMPLETED_DEAL,2022,EDGAR 8-K Merck deal Dec 2022; $1.35B; $36/share; bemarituzumab? No — bonemarrow. Imetelstat? No — imageotumab? Check,HIGH,CANDIDATE,SCORE_ONLY → deal. No prior SA. Find Merck 8-K on EDGAR. Verify exact drug name and deal structure.
GRCL,Gracell Biotechnologies,COMPLETED_DEAL,2024,EDGAR 8-K AstraZeneca deal Jan 2024; ~$1.2B; GC012F CAR-T,HIGH,CANDIDATE,Chinese biotech Nasdaq-listed. Confirm mcap before deal. No prior SA expected.
PAND,Pandion Therapeutics,COMPLETED_DEAL,2021,EDGAR 8-K Merck deal Feb 2021; $1.85B; immunology autoimmune,HIGH,CANDIDATE,SCORE_ONLY → deal. Good baseline false-negative for process detection.
ACHN,Achillion Pharmaceuticals,COMPLETED_DEAL,2020,EDGAR 8-K Alexion deal Jan 2020; ~$930M; complement complement factor D,HIGH,CANDIDATE,Small cap at time. Rare disease. No prior SA expected.
ALDR,Alder BioPharmaceuticals,COMPLETED_DEAL,2019,EDGAR 8-K Lundbeck deal Sep 2019; ~$1.95B; eptinezumab migraine CGRP,HIGH,CANDIDATE,At upper limit of target range. Confirm exact mcap at time.
ATRS,Antares Pharma,COMPLETED_DEAL,2022,EDGAR 8-K Halozyme deal Apr 2022; ~$960M; auto-injector specialty pharma,HIGH,CANDIDATE,Specialty pharma adjacent to biotech. Include as reference.
CMPI,Checkmate Pharmaceuticals,COMPLETED_DEAL,2022,EDGAR 8-K Pfizer deal Jan 2022; ~$2.1B; vidutolimod CpG-A TLR9,HIGH,CANDIDATE,Small immuno-oncology. Check for any prior SA or activist signal.
PTLA,Portola Pharmaceuticals,COMPLETED_DEAL,2021,EDGAR 8-K Alexion deal 2021; ~$1.41B; andexanet alfa Andexxa,HIGH,CANDIDATE,Check for any prior process signals; company was distressed before deal.
G1T,G1 Therapeutics,COMPLETED_DEAL,2024,EDGAR 8-K Pfizer deal 2024; ~$785M; lerociclib CDK4/6; check exact date,HIGH,CANDIDATE,Good small-cap deal. Confirm it was announced 2024 and deal value.
CTIC,CTI BioPharma,COMPLETED_DEAL,2023,EDGAR 8-K SOBI deal 2023; ~$1.7B; pacritinib MF; check exact date,HIGH,CANDIDATE,Confirm deal was SOBI and deal value. Possible prior SA signals given company history.
VECT,VectivBio Holding,COMPLETED_DEAL,2023,EDGAR 8-K Ironwood deal 2023; ~$1.0B; apraglutide SBS; check exact date,MED,CANDIDATE,Swiss biotech Nasdaq-listed. Confirm mcap before deal.
ARMO,Armo BioSciences,COMPLETED_DEAL,2018,EDGAR 8-K Eli Lilly deal 2018; ~$1.6B; pegilodecakin IL-10,MED,CANDIDATE,Earlier cycle. Confirm deal value and date.
AKCA,Akcea Therapeutics,COMPLETED_DEAL,2020,EDGAR 8-K Ionis tender offer 2020; ~$1.5B; parent company buyout,MED,CANDIDATE,Parent buying out minority — different dynamic than pure acquisition. Note this in case.
CNST,Constellation Pharmaceuticals,COMPLETED_DEAL,2021,EDGAR 8-K MorphoSys deal 2021; ~$1.7B; CPI-0610 pelabresib,MED,CANDIDATE,Confirm ticker was CNST and deal value/date.
FLXN,Flexion Therapeutics,COMPLETED_DEAL,2021,EDGAR 8-K Pacira BioSciences deal Oct 2021; ~$448M; Zilretta,HIGH,CANDIDATE,Good small-cap specialty pharma deal. Check for prior SA signals.
DOVA,Dova Pharmaceuticals,COMPLETED_DEAL,2021,EDGAR 8-K Swedish Orphan Biovitrum deal 2021; ~$915M; avatrombopag,HIGH,CANDIDATE,Confirm deal value and SOBI as acquirer. Find 8-K.
ADMS,Adamas Pharmaceuticals,COMPLETED_DEAL,2021,EDGAR 8-K Supernus deal Nov 2021; ~$400M; amantadine NMDA,HIGH,CANDIDATE,Small cap CNS. Good fit for target universe.
OYST,Oyster Point Pharma,COMPLETED_DEAL,2022,EDGAR 8-K Viatris deal 2022; ~$475M; OC-01 varenicline dry eye,HIGH,CANDIDATE,Confirm Viatris as acquirer and deal value.
AIMT,Aimmune Therapeutics,COMPLETED_DEAL,2020,EDGAR 8-K Nestle deal 2020; ~$2.6B; Palforzia peanut allergy,MED,CANDIDATE,At upper limit of range. Include as reference. Nestle as acquirer unusual.
STML,Stemline Therapeutics,COMPLETED_DEAL,2021,EDGAR 8-K Menarini deal 2021; ~$677M; elzonris tagraxofusp BPDCN,MED,CANDIDATE,Confirm Menarini as acquirer and deal value.
PGNX,Progenics Pharmaceuticals,COMPLETED_DEAL,2020,EDGAR 8-K Lantheus deal 2020; ~$441M; PyL PSMA PET imaging,HIGH,CANDIDATE,Good small-cap deal. Note Lantheus is nuclear medicine — adjacent to biotech.
AGIO,Agios Pharmaceuticals,ASSET_SALE,2021,EDGAR 8-K Servier deal 2021; sold oncology business for ~$1.8B; retained rare disease,HIGH,CANDIDATE,Partial asset sale — Agios kept rare disease (ivosidenib enasidenib to Servier). Complex case.
EPZM,Epizyme,COMPLETED_DEAL,2022,EDGAR 8-K Ipsen deal 2022; ~$247M; tazemetostat EZH2; company had announced strategic alternatives,HIGH,CANDIDATE,SA_AFFIRM then Ipsen deal. Confirm SA 8-K date before deal. Good AFFIRM case.
CHMA,Chiasma,COMPLETED_DEAL,2021,EDGAR 8-K Strongbridge deal 2021; ~$315M; octreotide acromegaly,MED,CANDIDATE,Rare disease. Small deal. Confirm Strongbridge as acquirer.
ARQL,ArQule,COMPLETED_DEAL,2020,EDGAR 8-K Merck deal 2020; ~$2.7B; ARQ 531 BTK inhibitor; over range,MED,CANDIDATE,Slightly over $1.5B range but important reference. Check if prior SA signals.
SYNTX,Synthorx,COMPLETED_DEAL,2019,EDGAR 8-K Sanofi deal 2020; ~$2.5B; THOR-707 IL-2; check exact ticker,MED,CANDIDATE,Confirm ticker SYNTX and deal date/value.
DERM,Dermira,COMPLETED_DEAL,2020,EDGAR 8-K Eli Lilly deal 2020; ~$1.1B; lebrikizumab cimtrekacept; check,HIGH,CANDIDATE,Confirm exact deal value. Good dermatology/autoimmune case.
LMNX,Luminex Corporation,COMPLETED_DEAL,2021,EDGAR 8-K DiaSorin deal 2021; ~$1.8B; diagnostics multiplexing,LOW,CANDIDATE,Diagnostics — adjacent to pharma biotech. Include as reference only.
MDCO,The Medicines Company,COMPLETED_DEAL,2020,EDGAR 8-K Novartis deal 2020; ~$9.7B; inclisiran; above range,LOW,CANDIDATE,Well over $1.5B range. Include as reference for SA_AFFIRM → large-pharma deal pattern.
CLVS,Clovis Oncology,BANKRUPTCY,2022,EDGAR bankruptcy filing Dec 2022; had PARP inhibitor rucaparib; distressed,HIGH,CANDIDATE,Bankrupt after PARP competitor pressure. Check for prior SA signals or activist before bankruptcy.
EPZM,Epizyme,COMPLETED_DEAL,2022,EDGAR 8-K Ipsen 2022; AFFIRM → deal,HIGH,CANDIDATE,Duplicate flagged — use single entry for EPZM.
MLNT,Melinta Therapeutics,BANKRUPTCY,2019,EDGAR bankruptcy filing early 2019; antibiotics; distressed after Rempex acquisition,MED,CANDIDATE,Antibiotic developer that went bankrupt after failed commercial launch. Good bankruptcy/false-positive case.
OTIC,Otonomy,BANKRUPTCY,2021,EDGAR wind-down announcement 2021; OTO-104 ear disease; failed pipeline,MED,CANDIDATE,Small ear disease biotech wound down after pipeline failures. Confirm exact dates.
GNCA,Genocea Biosciences,BANKRUPTCY,2022,EDGAR 8-K SA announcement Jan 2022; wind-down announcement later 2022; small cap,HIGH,CANDIDATE,Textbook SA_AFFIRM → wind-down. Already in seed. Verify first.
CRBP,Corbus Pharmaceuticals,FAILED_REVIEW,2022,EDGAR 8-K SA announcement 2022; no deal; company restructured,HIGH,CANDIDATE,SA false positive. Already in seed. Verify exact 8-K date.
MGTA,Magenta Therapeutics,BANKRUPTCY,2022,EDGAR 8-K SA announcement 2022; wind-down 2023; stem cell mobilization,HIGH,CANDIDATE,SA → wind-down. Already in seed. Verify dates.
TSHA,Taysha Gene Therapies,FAILED_REVIEW,2023,EDGAR 8-K or press release re strategic alternatives 2022-2023; wind-down elements,HIGH,CANDIDATE,Gene therapy company in distress. Check for SA 8-K. Company restructured significantly.
TYME,Tyme Technologies,FAILED_REVIEW,2022,EDGAR or 8-K strategic alternatives announcement 2022; no deal,MED,CANDIDATE,Cancer metabolism company. Check for SA 8-K and what happened.
CALA,Calithera Biosciences,BANKRUPTCY,2023,EDGAR wind-down announcement 2023; glutaminase inhibitor telaglenastat,HIGH,CANDIDATE,Company wound down after Phase 3 failures. Check for prior SA announcement.
TILS,Instil Bio,FAILED_REVIEW,2022,EDGAR strategic alternatives announcement; TIL therapy; no deal as of 2025,MED,CANDIDATE,TIL cell therapy — announced strategic review. Confirm SA 8-K date.
RIGL,Rigel Pharmaceuticals,ACTIVIST_NO_DEAL,2020,EDGAR SC 13D filing; activist pressure; no acquisition as of 2025,HIGH,CANDIDATE,Already in seed. Verify 13D filer and Item 4 text.
VNDA,Vanda Pharmaceuticals,ACTIVIST_NO_DEAL,2021,EDGAR SC 13D filing; activist pressure; no deal as of 2025,HIGH,CANDIDATE,Already in seed. Verify 13D filer and dates.
KPTI,Karyopharm Therapeutics,ACTIVIST_NO_DEAL,2022,EDGAR SC 13D or 13G filings; activist pressure for strategic alternatives; no deal,HIGH,CANDIDATE,Check WhaleWisdom for activist 13D filings. Confirm Item 4 language.
PTCT,PTC Therapeutics,ACTIVIST_NO_DEAL,2021,EDGAR SC 13D activist filing; activist pressure; no acquisition; company still operating,MED,CANDIDATE,RNA biology company. Check for 13D activist and Item 4.
MDXG,MiMedx Group,ACTIVIST_NO_DEAL,2020,EDGAR SC 13D or proxy fight; governance activism; no deal,MED,CANDIDATE,Regenerative medicine. Had governance issues. Check for sale-pressure 13D vs governance-only.
INVA,Innoviva,ACTIVIST_NO_DEAL,2021,EDGAR SC 13D or proxy; activist pressure; governance-heavy,MED,CANDIDATE,Drug royalties company. Check whether 13D was sale-pressure or governance-only — important for Item 4 calibration.
ZYME,Zymeworks,ACTIVIST_NO_DEAL,2022,EDGAR SC 13D or activist pressure; company rejected buyout offer; still public 2024,HIGH,CANDIDATE,Zymeworks rejected unsolicited acquisition offers from Jazz Pharmaceuticals. Check 8-K rejecting offer. Good activist pressure case.
MGNX,MacroGenics,ACTIVIST_NO_DEAL,2023,EDGAR SC 13D; activist pressure; no deal as of 2025,MED,CANDIDATE,Antibody therapy. Check 13D filer and Item 4.
ARCA,ARCA Biopharma,ACTIVIST_NO_DEAL,2020,EDGAR SC 13D or proxy; multiple activists; limited deal success,MED,CANDIDATE,Small cardiovascular biotech. Had complex activist situations. Check for sale-pressure language.
NKTR,Nektar Therapeutics,FAILED_REVIEW,2022,EDGAR strategic alternatives or restructuring announcement; no whole-company deal; company still operating 2025,MED,CANDIDATE,Large polymer conjugation biotech. Check for SA announcement and what happened to NKTR-358 and other programs.
VSTM,Verastem Oncology,FAILED_REVIEW,2023,EDGAR possible SA announcement; small cap oncology; check current status,LOW,CANDIDATE,Very small cap. Check for SA 8-K. May be below target range.
RDHL,RedHill Biopharma,FAILED_REVIEW,2022,EDGAR or press release governance/strategy issues; Israeli company on Nasdaq; no sale,LOW,CANDIDATE,Confirm SA-type announcement. Below target mcap range likely. Include as reference.
SPPI,Spectrum Pharmaceuticals,BANKRUPTCY,2023,EDGAR wind-down/bankruptcy after commercial difficulties; belinostat apaziquone,MED,CANDIDATE,Oncology specialty pharma. Wind-down after commercial failures. Confirm dates.
AGTC,Applied Genetic Technologies,BANKRUPTCY,2022,EDGAR wind-down 2022; gene therapy eye diseases; pipeline failures,MED,CANDIDATE,Gene therapy company. Wind-down 2022 after ophthalmology trials failed.
PTGX,Protagonist Therapeutics,ROFR_CASE,2022,EDGAR 8-K Johnson and Johnson collaboration with ROFN on rusfertide; program-specific scope,HIGH,CANDIDATE,J&J ROFN on PV program — program-specific not whole-company. Critical for ROFR scope calibration. Already in seed.
CDTX,Cidara Therapeutics,ROFR_CASE,2021,EDGAR 8-K Mundipharma or similar partner with ROFR on rezafungin; check scope,MED,CANDIDATE,Antifungal ROFR. Confirm ROFR partner and whether company-level or asset-level.
CRBU,Caribou Biosciences,ROFR_CASE,2022,EDGAR 8-K AbbVie collaboration with possible ROFR; check for ROFR/ROFN language,MED,CANDIDATE,CRISPR therapy. Check AbbVie collaboration 8-K for ROFR/ROFN language and scope.
RCKT,Rocket Pharmaceuticals,ROFR_CASE,2021,EDGAR 8-K possible ROFR with Renovacor or strategic partner; check,LOW,CANDIDATE,Gene therapy. Check for any ROFR/ROFN language in collaboration 8-Ks.
EDIT,Editas Medicine,ROFR_CASE,2020,EDGAR 8-K collaboration with AstraZeneca or others; possible ROFR language; check,LOW,CANDIDATE,Gene editing. Large partner relationships may include deal rights. Confirm ROFR scope.
IONS,Ionis Pharmaceuticals,ROFR_CASE,2020,EDGAR multiple partnership 8-Ks with ROFR/ROFN language; check scope of each,LOW,CANDIDATE,Many partnership agreements — find specific ROFR/ROFN cases and scope. May be program-specific only.
ARWR,Arrowhead Pharmaceuticals,ROFR_CASE,2021,EDGAR 8-K Janssen collaboration with possible ROFR; check scope language,LOW,CANDIDATE,RNA interference. Janssen partnership may include company-level ROFR. Check 8-K language.
ACRS,Aclaris Therapeutics,ROFR_CASE,2022,EDGAR 8-K possible strategic partner with ROFR; check,LOW,CANDIDATE,Dermatology. Small cap. Check for ROFR in any partnership 8-Ks.
ALBO,Albireo Pharma,COMPLETED_DEAL,2023,EDGAR 8-K Ipsen deal 2023; odevixibat rare liver disease; check deal value,MED,CANDIDATE,Rare pediatric liver disease. Ipsen acquisition. Confirm deal value and date.
SIGA,SIGA Technologies,ACTIVIST_GOVERNANCE_ONLY,2021,EDGAR SC 13D or proxy; governance-focused activist; no sale-pressure; pharma defense contracts,LOW,CANDIDATE,Unusual company — smallpox antiviral US government contracts. Activist was governance-focused. Good GOVERNANCE_ONLY Item 4 example.
MNOV,MediciNova,ACTIVIST_GOVERNANCE_ONLY,2022,EDGAR SC 13D; governance activism; no acquisition context; Japanese company,LOW,CANDIDATE,Japanese-managed Nasdaq-listed pharma. Governance-focused activism. Good GOVERNANCE_ONLY case.
CHRS,Coherus BioSciences,ACTIVIST_GOVERNANCE_ONLY,2023,EDGAR SC 13D or proxy activity; governance-focused; no deal as of 2025,LOW,CANDIDATE,Biosimilar company. Check for any 13D with governance-only Item 4. Good false-positive for Item 4 calibration.
TGTX,TG Therapeutics,ACTIVIST_GOVERNANCE_ONLY,2022,EDGAR SC 13D or pressure; governance-type activism; no deal,LOW,CANDIDATE,MS and blood cancer company. Check for any 13D filings and Item 4 classification.
OGEN,Otonomy / OGEN,BANKRUPTCY,2021,EDGAR wind-down 2021; ear disease; different from OTIC — check ticker; may be same company,LOW,CANDIDATE,Possible duplicate of OTIC — confirm ticker. Remove if same company.
PULM,Pulmatrix,BANKRUPTCY,2022,EDGAR wind-down or near-bankruptcy; inhaled antifungal; very small cap,LOW,CANDIDATE,Below target range likely. Include as bankruptcy false-positive reference if mcap > $50M at signal.
SURF,Surface Oncology,MERGER_EQUALS,2023,EDGAR merger of equals with Pyxis Oncology; no premium; activist pressure beforehand,HIGH,CANDIDATE,Already in seed. Verify merger terms and activist 13D details.
TELA,TELA Bio,ACTIVIST_NO_DEAL,2022,EDGAR SC 13D or proxy; activist pressure on surgical mesh company; adjacent to biotech,LOW,CANDIDATE,Medical devices/biologic mesh. Include as reference only — not pure biotech.
SPNV,Supernova Acquisition,FAILED_REVIEW,2021,SPAC vehicle; not applicable for standard process signal case; exclude,LOW,CANDIDATE,SPAC — exclude from dataset. Note in verification that SPAC structures require separate treatment.
FATE,Fate Therapeutics,COMPLETED_DEAL,2024,EDGAR 8-K Johnson and Johnson deal 2024; ~$1.6B; iPSC NK cell therapies; check exact value,HIGH,CANDIDATE,Confirm J&J as acquirer, deal value, and date. Good iPSC case.
AGIO,Agios Pharmaceuticals,ASSET_SALE,2021,EDGAR 8-K Servier oncology business sale 2021; ~$1.8B oncology; Agios retained rare disease,HIGH,CANDIDATE,Partial asset sale — oncology to Servier. Asset_sale event type. Agios still public post-sale.
MACK,Merrimack Pharmaceuticals,ASSET_SALE,2017,EDGAR 8-K Ipsen deal 2017; ONIVYDE sold for ~$575M; company retained remainder,MED,CANDIDATE,Partial asset sale. Company continued with remaining pipeline. Earlier cycle 2017.
BLRX,BioLineRx,FAILED_REVIEW,2023,EDGAR possible SA announcement; small Israeli Nasdaq biotech; check,LOW,CANDIDATE,Very small cap. Likely below target range.
ACET,Aceto Corporation,ACTIVIST_NO_DEAL,2019,EDGAR SC 13D; pharma distribution not pure biotech; exclude if non-biotech,LOW,CANDIDATE,Pharma distribution — exclude if not fitting biotech definition. Mark as reference.
