case_id,ticker,old_date,new_date,days_off,direction,edgar_accession,edgar_period,notes
RHC-0026-ACQUIRED-ACHN,ACHN,2020-01-10,2020-01-15,5,LATER,0001193125-20-008486,2020-01-15,Training knowledge date wrong by 5 days.
RHC-0028-ACQUIRED-DERM,DERM,2020-01-13,2020-01-10,3,EARLIER,0001564590-20-000689,2020-01-10,Training knowledge date wrong by 3 days.
RHC-0036-ACQUIRED-DOVA,DOVA,2019-10-01,2019-09-30,1,EARLIER,0001104659-19-051883,2019-09-30,Previously backfilled from later acc 0001104659-19-052965 (also period 2019-09-30); original 8-K filed same day as period confirms September 30. Date corrected by 1 day.
RHC-0037-ACQUIRED-DRNA,DRNA,2021-11-02,2021-11-17,15,LATER,0001193125-21-333251,2021-11-17,Training knowledge date wrong by 15 days — largest absolute error in batch.
RHC-0039-ACQUIRED-FPRX,FPRX,2021-03-03,2021-03-04,1,LATER,0001193125-21-068593,2021-03-04,Training knowledge date off by 1 day.
RHC-0041-ACQUIRED-PAND,PAND,2021-02-23,2021-02-24,1,LATER,0001193125-21-055823,2021-02-24,Training knowledge date off by 1 day.
RHC-0044-ACQUIRED-VIE,VIE,2021-02-08,2021-01-31,8,EARLIER,0001193125-21-023686,2021-01-31,Training knowledge date wrong by 8 days.
RHC-0045-ACQUIRED-XLRN,XLRN,2021-09-28,2021-09-29,1,LATER,0001104659-21-120991,2021-09-29,Training knowledge date off by 1 day.
RHC-0046-ACQUIRED-ATRS,ATRS,2022-03-28,2022-04-12,15,LATER,0001140361-22-014261,2022-04-12,Training knowledge date wrong by 15 days — tied for largest absolute error.
RHC-0047-ACQUIRED-AVEO,AVEO,2022-11-03,2022-10-18,16,EARLIER,0001193125-22-264065,2022-10-18,Training knowledge date wrong by 16 days — largest absolute error in batch. Company registered on EDGAR as 'AVEO Pharmaceuticals' not 'AVEO Oncology'.
RHC-0048-ACQUIRED-BHVN,BHVN,2022-05-10,2022-05-09,1,EARLIER,0001689813-22-000034,2022-05-09,Training knowledge date off by 1 day.
RHC-0049-ACQUIRED-CCXI,CCXI,2022-08-02,2022-08-03,1,LATER,0001193125-22-211865,2022-08-03,Training knowledge date off by 1 day.
RHC-0050-ACQUIRED-CMPI,CMPI,2022-01-19,2022-04-18,89,LATER,0001193125-22-108777,2022-04-18,Training knowledge date wrong by 89 days — critical error; entire prior-signal window would have been wrong.
