"ticker","case_id_current","current_status","target_event_type","likely_signal_type","likely_outcome","likely_acquirer_or_result","approx_signal_year","knowledge_confidence","confirmed_sources_found","missing_critical_fields","evidence_quality","next_research_step","recommended_status","priority_for_edgar_session","seed_errors_flagged","anti_lookahead_risk","notes","process_event_type","process_outcome","corporate_outcome"
"HARP","HARP-2020-001","STUB","COMPLETED_DEAL","ROFR_ROFN","ACQUIRED","AbbVie Inc.","2020","HIGH","NONE — no public 8-K found for AbbVie collaboration","ALL — major seed errors found","LOW — 10-K confirms AbbVie Development and Option Agreement but no standalone 8-K found","CRITICAL CORRECTION NEEDED: (1) AbbVie deal = program-level option on HPN217 from Nov 2019 (not ROFR, not 2020). (2) No public SA/ROFR 8-K found in 2019-2023. (3) Observation_date may be NA or must come from DEF 14A background. Consider reclassifying signal_type=SCORE_ONLY. Read 2023 DEF 14A background of negotiations section carefully.","STUB","1 — highest priority; textbook ROFR→ACQUIRED case","signal_type=ROFR_ROFN needs verification; observation_date=2020-09-15 NOT CONFIRMED (no 8-K found); case_id year wrong (should be 2019 not 2023 per agreement date); rofr_scope=WHOLE_COMPANY likely wrong — agreement was program-specific option on HPN217","HIGH — do not infer ROFR scope from deal outcome; classify scope from 2020 collaboration text only","AbbVie Development and Option Agreement = option to license HPN217 (program-specific). First mentioned in 10-K 2022 XBRL under AbbVieDevelopmentAndOptionAgreementMember with 2019 dates. Restated Collaboration Agreement also from 2019. Neither announced via standalone 8-K found in search.","ROFR_DISCLOSED","DEAL_COMPLETED","ACQUIRED"
"SRRA","SRRA-2022-001","PARTIAL","COMPLETED_DEAL","BANKER_RETAINED","ACQUIRED","GlaxoSmithKline plc","2021","HIGH","merger_8K_2022-04-13|acc=0001193125-22-103561","observation_date|price_at_signal|deal_premium_pct|had_prior_process_signal|signal_type_confirmation","HIGH for merger; UNCONFIRMED for pre-deal signal","Search SRRA 2021 8-Ks for banker/SA language to confirm or deny BANKER_RETAINED signal_type. If no prior signal found → set signal_type=MERGER_AGREEMENT and observation_date=2022-04-12. Pull price on confirmed observation_date.","PARTIAL","2 — high priority; deal confirmed but signal type uncertain","signal_type=BANKER_RETAINED is an assumption — no pre-deal signal confirmed in EDGAR; may need to change to MERGER_AGREEMENT","MEDIUM — risk of setting observation_date to deal date vs. any earlier advisor signal; must check 2021 filings before assuming no prior signal","GSK merger confirmed 2022-04-12. Acquirer = GlaxoSmithKline plc. Still need pre-deal signal search for 2021 8-Ks.","STRATEGIC_REVIEW","DEAL_COMPLETED","ACQUIRED"
"GNCA","GNCA-2022-001","PARTIAL","BANKRUPTCY","SA_AFFIRM","BANKRUPT","N/A — wound down","2022","MEDIUM","SA_8K_2022-04-28|acc=0001457612-22-000049|WINDDOWN_8K_2022-05-24|acc=0001457612-22-000058","price_at_signal|mcap_at_signal_M|price_30d_after|price_90d_after","HIGH — SA date confirmed; wind-down confirmed (board vote voluntary delist; NOT bankruptcy)","Correct observation_date to 2022-04-28. Correct corporate_outcome to WIND_DOWN (PACER check recommended). Pull GNCA price on 2022-04-28 via yfinance (delisted, use Stooq). Update cases_seed.csv observation_date.","PARTIAL","3 — important false-positive / SA→failure case; outcome type unclear","observation_date=2022-01-27 WRONG (actual=2022-04-28); event_type=BANKRUPTCY likely wrong (no Ch7/11 found — wind-down appears voluntary)","LOW — SA signal classification is unambiguous; only risk is outcome date attribution","SA confirmed 2022-04-28. Wind-down confirmed 2022-05-24. Days SA to outcome = 26. PACER check still needed to rule out subsequent Ch7 filing.","STRATEGIC_REVIEW","REVIEW_ABANDONED","WIND_DOWN"
"CRBP","CRBP-2022-001","STUB","FAILED_REVIEW","SA_AFFIRM","REVIEW_ABANDONED","N/A — no deal; company pivoted","2022","MEDIUM-LOW","NONE — not yet researched","ALL","LOW — not yet researched in this session","Search EDGAR CRBP (CIK 1595097) 8-Ks 2022-2023 for SA announcement. Search for outcome 8-K. Pull price on confirmed SA date.","STUB","4","outcome=REVIEW_ABANDONED in seed is an assumption — company may have formally announced end of review (REVIEW_ABANDONED) or simply stopped with no announcement (harder to date)","MEDIUM — failure_reason must be grounded in what was publicly stated at outcome_date only; lenabasum Phase 3 failures are public but outcome_date for review closure is unknown","CRBP not checked in batch verification session. CIK = 1595097 confirmed from earlier lookup.","STRATEGIC_REVIEW","REVIEW_ABANDONED","ONGOING"
"MGTA","MGTA-2022-001","STUB","BANKRUPTCY","SA_AFFIRM","WIND_DOWN","N/A — wound down","2022","MEDIUM","SA_8K_2023-02-02|acc=0001193125-23-022825|DIANTHUS_MERGER_8K_2023-05-03|acc=0001193125-23-133205","price_at_signal|mcap_at_signal_M|corporate_outcome_correction|case_id_correction","HIGH for SA and outcome; but seed has major errors","CORRECTION NEEDED: update observation_date to 2023-02-02. Update corporate_outcome to MERGED_EQUALS (Dianthus reverse merger). Pull MGTA price 2023-02-02 via yfinance. Reassign case_id if year field used (seed says 2022 but event is 2023).","STUB","5 — SA→wind-down textbook case","observation_date=2022-06-01 WRONG (actual=2023-02-02); event_type=BANKRUPTCY WRONG; corporate_outcome=WIND_DOWN WRONG (actual=MERGED_EQUALS with Dianthus Therapeutics)","LOW — SA signal unambiguous","SA = 2023-02-02. Restructuring 84% reduction 2023-02-07. Dianthus merger announced 2023-05-03 (reverse merger, Dianthus surviving entity). Company is now Dianthus Therapeutics Inc (same CIK 1690585).","STRATEGIC_REVIEW","REVIEW_ABANDONED","WIND_DOWN"
"PTGX","PTGX-2022-001","STUB","ROFR_NO_TRIGGER","ROFR_ROFN","ONGOING","N/A — Janssen/J&J collaboration; no acquisition","2021","MEDIUM","collaboration_8K_2021-07-28|acc=0001104659-21-096941","rofr_scope|price_at_signal|observation_date_correction|exhibit_text","MEDIUM — collaboration filing confirmed; ROFR/option scope not yet extracted from exhibit","Run exhibit_scope_extractor.py on Exhibit 10.x from 0001104659-21-096941. Confirm whether Janssen had option to acquire whole company or program-specific rights. Pull PTGX price on 2021-07-27.","STUB","6 — critical ROFR scope calibration case","observation_date=2022-01-01 WRONG (restated collab = 2021-07-27; original collab = 2017-05-26)","HIGH — do not use Janssen's later option exercise (if any) to retroactively classify original ROFR scope; scope must come from 2021 agreement text only","Janssen Restated License and Collaboration Agreement 8-K filed 2021-07-28 (period 2021-07-27). Original agreement May 2017. Amends and restates prior agreement. Nature of option/ROFR rights not confirmed from text — exhibit review required.","ROFR_DISCLOSED","ROFR_NOT_EXERCISED","ONGOING"
"IMGO","IMGO-2022-001","PARTIAL","COMPLETED_DEAL","SCORE_ONLY","ACQUIRED","UNCONFIRMED — seed says Merck; training knowledge suggests BMS","2022","HIGH — deal confirmed; acquirer name UNCERTAIN","merger_8K_2022-11-21|acc=0001193125-22-289491","observation_date|price_at_signal|mcap_at_signal_M|deal_premium_pct|days_signal_to_deal|had_prior_process_signal","HIGH — merger confirmed; acquirer=Merck confirmed; $36/share confirmed","Confirm had_prior_process_signal=FALSE (no prior SA/banker 8-K found in 2022 scan). Pull IMGO price on 2022-11-21 via yfinance. Compute deal_premium_pct vs 30d pre-announcement avg.","PARTIAL","3 — CRITICAL: acquirer name error suspected in seed; must resolve before any downstream use","CRITICAL ERROR: seed says acquirer=Merck Co. Inc. but training knowledge indicates acquirer=Bristol-Myers Squibb Inc. Must verify against 8-K text before any use. Also: signal_type=SCORE_ONLY means no pre-deal signal — confirm no prior SA or banker 8-K was missed.","HIGH — signal_type=SCORE_ONLY set in seed; risk is that an earlier SA/banker filing was missed; verify no pre-announcement process signal exists","ACQUIRER CONFIRMED = Merck Sharp & Dohme LLC. $36.00/share. Period 2022-11-19. 8-K 2022-11-21. Scan of 2022 8-Ks found no prior SA/banker signal — had_prior_process_signal likely FALSE.","MERGER_ANNOUNCED","DEAL_COMPLETED","ACQUIRED"
"RIGL","RIGL-2020-001","STUB","ACTIVIST_NO_DEAL","ACTIVIST_13D","ONGOING","N/A — activist pressure; no deal as of knowledge cutoff","2019","MEDIUM-LOW","NONE — no SC 13D found in EDGAR 2018-2023","ALL — activist filing not confirmed","LOW — only 13D activity is from 2003-2005","Check RIGL SC 13G filings 2018-2023 for large accumulation that may have been activist. Check RIGL DEF 14A for proxy contest language. Check 13D Monitor or WhaleWisdom for any RIGL activist campaign. Consider whether case should be removed from seed.","STUB","7 — important activist false-positive case; Item 4 classification required","LIKELY ERROR: training knowledge about activist 13D against RIGL may be incorrect. Zero SC 13D filings found in EDGAR for 2018-2023.","CRITICAL — item4_intent must come from actual 13D Item 4 text; do not infer from what activist eventually demanded in later amendments or press releases","NEGATIVE RESULT: EDGAR found 0 SC 13D filings against RIGL in 2018-2023. Last 13D was 2005. Training knowledge basis for this case is unconfirmed.","ACTIVIST_CAMPAIGN","ACTIVIST_WITHDRAWN","ONGOING"
"FLXN","FLXN-2021-001","PARTIAL","COMPLETED_DEAL","MERGER_AGREEMENT","ACQUIRED","Pacira BioSciences Inc.","2021","HIGH","merger_8K_2021-10-12|acc=0001104659-21-124870","observation_date|price_at_signal|deal_price_per_share|deal_premium_pct|had_prior_process_signal","HIGH for merger; UNCONFIRMED for pre-deal signal","Search FLXN 2020-2021 8-Ks for SA or banker signal before merger. If none → signal_type=MERGER_AGREEMENT, observation_date=2021-10-11. Pull price on confirmed observation_date.","PARTIAL","8 — not yet seeded; need EDGAR research before adding to seed file","NOT SEEDED — needs to be added to cases_seed.csv after EDGAR confirmation; do not add placeholder without at minimum a confirmed merger 8-K date","LOW — signal_type determination is the main risk; if no pre-announcement signal exists then no look-ahead issue","Pacira BioSciences merger confirmed 2021-10-11. $8.50/share + CVR mentioned in seed needs confirmation from deal text.","MERGER_ANNOUNCED","DEAL_COMPLETED","ACQUIRED"
"DOVA","DOVA-2021-001","STUB","COMPLETED_DEAL","MERGER_AGREEMENT","ACQUIRED","Swedish Orphan Biovitrum (Sobi)","2021","MEDIUM","merger_8K_2019-10-03|acc=0001104659-19-052965|SC_TO-T_2019-10-11|acc=0001047469-19-005717","ALL — year wrong; case_id wrong","HIGH for merger details; but seed year is wrong","CRITICAL CORRECTION: Deal was 2019 (not 2021). Rename case to DOVA-2019-001. Acquirer = Swedish Orphan Biovitrum AB (Sobi). $27.50/share + CVR. Check for any pre-deal SA signal in 2018-2019 DOVA 8-Ks. Pull DOVA price on ~2019-09-30 or 2019-10-03.","STUB","9 — not yet seeded; lower confidence on deal terms than FLXN","CRITICAL: deal_year=2021 WRONG (actual=2019). case_id should be DOVA-2019-001. Deal period = 2019-09-30.","LOW — same as FLXN; main risk is missing a pre-announcement signal","Sobi acquisition confirmed: $27.50/share + CVR. Tender offer SC TO-T filed 2019-10-11. Merger agreement 8-K filed 2019-10-03 (period 2019-09-30). DOVA last 8-K in EDGAR is 2019-11-12 — consistent with early 2020 completion.","MERGER_ANNOUNCED","DEAL_COMPLETED","ACQUIRED"
