case_id,ticker,company_name,current_status,known_acquirer,likely_outcome_year,best_existing_source_hint,next_action
RHC-0026-ACQUIRED-ACHN,ACHN,Achillion Pharmaceuticals,DATE_MISSING,Alexion Pharmaceuticals,2020,resolved_case_candidates: EDGAR 8-K Alexion deal Jan 2020; ~$930M,Backfill announcement date from merger 8-K; search ACHN + agreement plan merger 2020-01-01 to 2020-12-31
RHC-0027-ACQUIRED-BOLD,BOLD,"Audentes Therapeutics, Inc.",DATE_MISSING,Astellas Pharma,2020,resolved_case_candidates: Astellas acquisition; verify with 8-K merger agreement and tender offer filings,Backfill announcement date from merger 8-K; search BOLD + agreement plan merger 2019-12-01 to 2020-06-30
RHC-0028-ACQUIRED-DERM,DERM,Dermira,DATE_MISSING,Eli Lilly,2020,resolved_case_candidates: EDGAR 8-K Eli Lilly deal 2020; ~$1.1B,Backfill announcement date from merger 8-K; search DERM + agreement plan merger 2020-01-01 to 2020-12-31
RHC-0029-ACQUIRED-FTSV,FTSV,"Forty Seven, Inc.",DATE_MISSING,Gilead Sciences,2020,resolved_case_candidates: Gilead acquisition; verify with 8-K merger agreement and tender offer filings,Backfill announcement date from merger 8-K; search FTSV + agreement plan merger 2020-01-01 to 2020-12-31
RHC-0030-ACQUIRED-MNTA,MNTA,"Momenta Pharmaceuticals, Inc.",DATE_MISSING,Johnson & Johnson,2020,resolved_case_candidates: Johnson & Johnson acquisition; verify with 8-K merger agreement and proxy,Backfill announcement date from merger 8-K; search MNTA + agreement plan merger 2020-01-01 to 2020-12-31
RHC-0031-ACQUIRED-MYOK,MYOK,"MyoKardia, Inc.",DATE_MISSING,Bristol-Myers Squibb,2020,resolved_case_candidates: Bristol Myers Squibb acquisition; verify with 8-K and proxy/tender filings,Backfill announcement date from merger 8-K; search MYOK + agreement plan merger 2020-01-01 to 2020-12-31
RHC-0032-ACQUIRED-PGNX,PGNX,Progenics Pharmaceuticals,DATE_MISSING,Lantheus Holdings,2020,resolved_case_candidates: EDGAR 8-K Lantheus deal 2020; ~$441M (close date 2020; announced ~Oct 2019),Backfill announcement date from merger 8-K; search PGNX + agreement plan merger 2019-09-01 to 2020-02-28
RHC-0033-ACQUIRED-PRNB,PRNB,Principia Biopharma Inc.,DATE_MISSING,Sanofi,2020,resolved_case_candidates: Sanofi acquisition; verify with 8-K merger agreement and tender offer filings,Backfill announcement date from merger 8-K; search PRNB + agreement plan merger 2020-01-01 to 2020-12-31
RHC-0034-ACQUIRED-PRVL,PRVL,Prevail Therapeutics Inc.,DATE_MISSING,Eli Lilly,2020,resolved_case_candidates: Eli Lilly acquisition; verify with 8-K merger agreement and tender offer filings,Backfill announcement date from merger 8-K; search PRVL + agreement plan merger 2020-01-01 to 2021-06-30
RHC-0035-ACQUIRED-ADMS,ADMS,Adamas Pharmaceuticals,DATE_MISSING,Supernus Pharmaceuticals,2021,resolved_case_candidates: EDGAR 8-K Supernus deal Nov 2021; ~$400M; amantadine NMDA,Backfill announcement date from merger 8-K; search ADMS + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0036-ACQUIRED-DOVA,DOVA,Dova Pharmaceuticals,DATE_MISSING,Swedish Orphan Biovitrum AB (Sobi),2019,source_evidence.csv: 8-K acc 0001104659-19-052965 period 2019-09-30; seed_error in candidate year (says 2021 but deal was 2019),Date confirmed from source_evidence 8-K; backfill acquisition_announcement_dates.csv as 2019-10-01
