case_id,ticker,company_name,current_status,packet_path,json_packet_path,completeness_score,missing_field_count,recommended_status,recommended_next_action,prior_signal_hit_status,prior_signal_adjudication_status,true_prior_signal_rows,false_positive_rows,priority
RHC-0001-ACQUIRED-NPSP,NPSP,"NPS Pharmaceuticals, Inc.",PARTIAL,data/historical_cases/case_packets/RHC-0001-ACQUIRED-NPSP_NPSP.md,data/historical_cases/case_packets/RHC-0001-ACQUIRED-NPSP_NPSP.json,80,2,PARTIAL,Run price_window_fetcher.py or manual delisted-ticker price workflow after confirming premium extraction status.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0002-ACQUIRED-PCYC,PCYC,"Pharmacyclics, Inc.",PARTIAL,data/historical_cases/case_packets/RHC-0002-ACQUIRED-PCYC_PCYC.md,data/historical_cases/case_packets/RHC-0002-ACQUIRED-PCYC_PCYC.json,80,2,PARTIAL,Run price_window_fetcher.py or manual delisted-ticker price workflow after confirming premium extraction status.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0003-ACQUIRED-ZSPH,ZSPH,"ZS Pharma, Inc.",PARTIAL,data/historical_cases/case_packets/RHC-0003-ACQUIRED-ZSPH_ZSPH.md,data/historical_cases/case_packets/RHC-0003-ACQUIRED-ZSPH_ZSPH.json,80,2,PARTIAL,Run price_window_fetcher.py or manual delisted-ticker price workflow after confirming premium extraction status.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0004-ACQUIRED-ANAC,ANAC,"Anacor Pharmaceuticals, Inc.",PARTIAL,data/historical_cases/case_packets/RHC-0004-ACQUIRED-ANAC_ANAC.md,data/historical_cases/case_packets/RHC-0004-ACQUIRED-ANAC_ANAC.json,80,2,PARTIAL,Run price_window_fetcher.py or manual delisted-ticker price workflow after confirming premium extraction status.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0005-ACQUIRED-CPXX,CPXX,"Celator Pharmaceuticals, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0005-ACQUIRED-CPXX_CPXX.md,data/historical_cases/case_packets/RHC-0005-ACQUIRED-CPXX_CPXX.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",CONFIRMED_NO_HIT,RIGHTS_LANGUAGE_ONLY,0,1,HIGH
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",PARTIAL,data/historical_cases/case_packets/RHC-0006-ACQUIRED-MDVN_MDVN.md,data/historical_cases/case_packets/RHC-0006-ACQUIRED-MDVN_MDVN.json,80,2,PARTIAL,Run price_window_fetcher.py or manual delisted-ticker price workflow after confirming premium extraction status.,CONFIRMED_HIT,TRUE_PUBLIC_PRIOR_SIGNAL,9,0,HIGH
RHC-0007-ACQUIRED-RLYP,RLYP,"Relypsa, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0007-ACQUIRED-RLYP_RLYP.md,data/historical_cases/case_packets/RHC-0007-ACQUIRED-RLYP_RLYP.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0008-ACQUIRED-TBRA,TBRA,"Tobira Therapeutics, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0008-ACQUIRED-TBRA_TBRA.md,data/historical_cases/case_packets/RHC-0008-ACQUIRED-TBRA_TBRA.json,80,2,PARTIAL_READY,Promote only after primary-source evidence supports the PARTIAL checklist.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0009-ACQUIRED-VTAE,VTAE,"Vitae Pharmaceuticals, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0009-ACQUIRED-VTAE_VTAE.md,data/historical_cases/case_packets/RHC-0009-ACQUIRED-VTAE_VTAE.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0010-ACQUIRED-ARIA,ARIA,"ARIAD Pharmaceuticals, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0010-ACQUIRED-ARIA_ARIA.md,data/historical_cases/case_packets/RHC-0010-ACQUIRED-ARIA_ARIA.json,80,2,PARTIAL_READY,Promote only after primary-source evidence supports the PARTIAL checklist.,,NOT_ADJUDICATED,0,0,HIGH
