candidate_id,ticker,company_name,category,likely_event_year,source_hint,source_url_if_known,edgar_query,confidence_level,priority,verification_status,reason_for_inclusion,fields_needed_for_partial,notes
CAND-0001-ROFR_ROFN_CASE-CNTA,CNTA,Centessa Pharmaceuticals plc,ROFR_ROFN_CASE,2018-2024,EDGAR 8-K and 10-K ROFR/ROFN search; source_queries.md Section 1C,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=CNTA+%22Centessa+Pharmaceuticals+plc%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-K%2C10-Q&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,HIGH,CANDIDATE,local scanner row indicates possible ROFR/ROFN signal,agreement_8k_url|exhibit_url|observation_date|rights_holder|rofr_scope|excerpt|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0002-ROFR_ROFN_CASE-TERN,TERN,"Terns Pharmaceuticals, Inc.",ROFR_ROFN_CASE,2018-2024,EDGAR 8-K and 10-K ROFR/ROFN search; source_queries.md Section 1C,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=TERN+%22Terns+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-K%2C10-Q&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,HIGH,CANDIDATE,local scanner row indicates possible ROFR/ROFN signal,agreement_8k_url|exhibit_url|observation_date|rights_holder|rofr_scope|excerpt|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0003-ROFR_ROFN_CASE-RAPT,RAPT,"RAPT Therapeutics, Inc.",ROFR_ROFN_CASE,2018-2024,EDGAR 8-K and 10-K ROFR/ROFN search; source_queries.md Section 1C,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=RAPT+%22RAPT+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-K%2C10-Q&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,HIGH,CANDIDATE,local scanner row indicates possible ROFR/ROFN signal,agreement_8k_url|exhibit_url|observation_date|rights_holder|rofr_scope|excerpt|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0004-FAILED_STRATEGIC_REVIEW-SDGR,SDGR,"Schrödinger, Inc.",FAILED_STRATEGIC_REVIEW,2018-2024,EDGAR 8-K strategic alternatives search; source_queries.md Section 1A,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=SDGR+%22Schr%C3%B6dinger%2C+Inc.%22+%22strategic+alternatives%22+%22board+of+directors%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,HIGH,CANDIDATE,local scanner row indicates strategic alternatives language,sa_8k_url|observation_date|sa_excerpt|outcome_check|price_window|no_deal_confirmation,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0005-FAILED_STRATEGIC_REVIEW-TBPH,TBPH,"Theravance Biopharma, Inc.",FAILED_STRATEGIC_REVIEW,2018-2024,EDGAR 8-K strategic alternatives search; source_queries.md Section 1A,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=TBPH+%22Theravance+Biopharma%2C+Inc.%22+%22strategic+alternatives%22+%22board+of+directors%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,HIGH,CANDIDATE,local scanner row indicates strategic alternatives language,sa_8k_url|observation_date|sa_excerpt|outcome_check|price_window|no_deal_confirmation,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0006-FAILED_STRATEGIC_REVIEW-ADCT,ADCT,ADC Therapeutics S.A.,FAILED_STRATEGIC_REVIEW,2018-2024,EDGAR 8-K strategic alternatives search; source_queries.md Section 1A,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=ADCT+%22ADC+Therapeutics+S.A.%22+%22strategic+alternatives%22+%22board+of+directors%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,HIGH,CANDIDATE,local scanner row indicates strategic alternatives language,sa_8k_url|observation_date|sa_excerpt|outcome_check|price_window|no_deal_confirmation,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0007-ACTIVIST_13D_NO_DEAL-DAWN,DAWN,"Day One Biopharmaceuticals, Inc.",ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=DAWN+%22Day+One+Biopharmaceuticals%2C+Inc.%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,MED,CANDIDATE,local scanner row indicates SC 13D activity,initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0008-ACTIVIST_13D_NO_DEAL-OBIO,OBIO,"Orchestra BioMed Holdings, Inc.",ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=OBIO+%22Orchestra+BioMed+Holdings%2C+Inc.%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,MED,CANDIDATE,local scanner row indicates SC 13D activity,initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0009-ACTIVIST_13D_NO_DEAL-LGND,LGND,Ligand Pharmaceuticals Incorporated,ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=LGND+%22Ligand+Pharmaceuticals+Incorporated%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,MED,CANDIDATE,local scanner row indicates SC 13D activity,initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0010-ACTIVIST_13D_NO_DEAL-ABUS,ABUS,Arbutus Biopharma Corporation,ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=ABUS+%22Arbutus+Biopharma+Corporation%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,MED,CANDIDATE,local scanner row indicates SC 13D activity,initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
